rk,player,pos,age,team,games,games_started,min_played,made_fg,fg_attempted,fg_perc,made_3p,attempted_3p,perc_3p,made_2p,attempted_2p,perc_2p,effective_fg_perc,made_ft,attempted_ft,ft_perc,off_reb,def_reb,tot_reb,assists,steals,blocks,turnovers,fouls,points,player_additional,year
104,Aaron Nesmith,SF,24,IND,72,47,27.7,4.4,8.8,0.496,1.9,4.6,0.419,2.4,4.2,0.581,0.606,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,nesmiaa01,2024
105,Max Strus,SF,27,CLE,70,70,32,4.3,10.4,0.418,2.4,6.8,0.351,1.9,3.6,0.546,0.533,1.1,1.4,0.794,0.9,3.9,4.8,4,0.9,0.4,1.6,2.4,12.2,strusma01,2024
106,Jonas Valančiūnas,C,31,NOP,82,82,23.5,4.9,8.8,0.559,0.5,1.5,0.308,4.5,7.3,0.609,0.585,2,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7,12.2,valanjo01,2024
107,Buddy Hield,SF-SG,31,TOT,84,42,25.7,4.4,10.1,0.436,2.6,6.8,0.386,1.8,3.4,0.539,0.565,0.6,0.7,0.881,0.7,2.5,3.2,2.8,0.8,0.5,1.2,2,12.1,hieldbu01,2024
108,Tyus Jones,PG,27,WAS,66,66,29.3,4.9,10.1,0.489,1.6,3.9,0.414,3.3,6.2,0.537,0.569,0.5,0.6,0.8,0.3,2.4,2.7,7.3,1.1,0.3,1,0.7,12,jonesty01,2024
109,Jaime Jaquez Jr.,SF,22,MIA,75,20,28.2,4.5,9.3,0.489,0.9,2.7,0.322,3.7,6.6,0.558,0.536,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1,0.3,1.5,2.2,11.9,jaqueja01,2024
110,Nic Claxton,C,24,BRK,71,71,29.8,5.2,8.2,0.629,0,0.1,0.2,5.1,8.1,0.633,0.63,1.5,2.8,0.551,2.7,7.2,9.9,2.1,0.6,2.1,1.3,2.5,11.8,claxtni01,2024
111,Ivica Zubac,C,26,LAC,68,68,26.4,5,7.6,0.649,0,0,,5,7.6,0.649,0.649,1.8,2.4,0.723,2.9,6.3,9.2,1.4,0.3,1.2,1.2,2.6,11.7,zubaciv01,2024
112,Cole Anthony,PG,23,ORL,81,0,22.4,4.1,9.4,0.435,1.1,3.4,0.338,3,6,0.49,0.496,2.2,2.7,0.826,0.8,3,3.8,2.9,0.8,0.5,1.6,2.2,11.6,anthoco01,2024
113,Jeremy Sochan,PF,20,SAS,74,73,29.6,4.6,10.5,0.438,0.9,3.1,0.308,3.6,7.4,0.492,0.483,1.5,1.9,0.771,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3,11.6,sochaje01,2024
114,Clint Capela,C,29,ATL,73,73,25.8,4.8,8.5,0.571,0,0,0,4.8,8.5,0.572,0.571,1.8,2.8,0.631,4.6,6,10.6,1.2,0.6,1.5,1,2.2,11.5,capelca01,2024
115,Mike Conley,PG,36,MIN,76,76,28.9,3.9,8.5,0.457,2.4,5.3,0.442,1.5,3.1,0.481,0.595,1.3,1.5,0.911,0.5,2.4,2.9,5.9,1.2,0.2,1.3,1.7,11.4,conlemi01,2024
116,Malik Beasley,SG,27,MIL,79,77,29.6,4.1,9.1,0.443,2.8,6.9,0.413,1.2,2.3,0.533,0.598,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.1,0.7,2,11.3,beaslma01,2024
117,Zach Collins,C,26,SAS,69,29,22.1,4.3,8.9,0.484,0.8,2.6,0.32,3.5,6.3,0.552,0.531,1.8,2.3,0.753,1.7,3.7,5.4,2.8,0.5,0.8,1.9,3,11.2,colliza01,2024
118,Russell Westbrook,PG,35,LAC,68,11,22.5,4.4,9.8,0.454,0.6,2.3,0.273,3.8,7.5,0.509,0.486,1.6,2.4,0.688,1.4,3.7,5,4.5,1.1,0.3,2.1,1.8,11.1,westbru01,2024
